Time,Operator,Flight #,Route,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Date_parsed,Modele,Version,Ville,Pays,Aboard_filled,Fatalities_filled
17:18,Military - U.S. Army,,Demonstration,,1,2.0,1.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",1908-09-17,wright,flyer iii,fort myer,virginia,2.0,1.0
06:30,Military - U.S. Navy,,Test flight,,,5.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",1912-07-12,dirigible,,atlanticity,new jersey,5.0,5.0
,Private,-,,,,1.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1913-08-06,curtiss,seaplane,victoria,canada,1.0,1.0
18:30,Military - German Navy,,,,,20.0,14.0,0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,1913-09-09,zeppelin,l-1 (airship),over the north sea,,20.0,14.0
10:30,Military - German Navy,,,,,30.0,30.0,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",1913-10-17,zeppelin,l-2 (airship),near johannisthal,germany,30.0,30.0
01:00,Military - German Navy,,,,,41.0,21.0,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,1915-03-05,zeppelin,l-8 (airship),tienen,belgium,41.0,21.0
15:20,Military - German Navy,,,,,19.0,19.0,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",1915-09-03,zeppelin,l-10 (airship),off cuxhaven,germany,19.0,19.0
,Military - German Army,,,,,20.0,20.0,0.0,"Crashed near the Black Sea, cause unknown.",1916-07-28,schutte-lanz,s-l-10 (airship),near jambol,bulgeria,20.0,20.0
01:00,Military - German Navy,,,,,22.0,22.0,0.0,Shot down by British aircraft crashing in flames.,1916-09-24,zeppelin,l-32 (airship),billericay,england,22.0,22.0
23:45,Military - German Navy,,,,,19.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,1916-10-01,zeppelin,l-31 (airship),potters bar,england,19.0,19.0
,Military - German Army,,,,,28.0,27.0,0.0,Crashed in a storm.,1916-11-21,super,zeppelin (airship),mainz,germany,28.0,27.0
23:45,Military - German Navy,,,,,20.0,20.0,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,1916-11-28,zeppelin,l-34 (airship),off west hartlepool,england,20.0,20.0
,Military - German Army,,,,,20.0,20.0,0.0,Caught fire and crashed.,1917-03-04,airship,,near gent,belgium,20.0,20.0
,Military - German Navy,,,,,23.0,23.0,0.0,Struck by lightning and crashed into the BaltiSea.,1917-03-30,schutte-lanz,s-l-9 (airship),off northern germany,,23.0,23.0
05:15,Military - German Navy,,,,,21.0,21.0,0.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",1917-05-14,zeppelin,l-22 (airship),near texel island,north sea,21.0,21.0
08:45,Military - German Navy,,,,,24.0,24.0,0.0,Shot down by British aircraft.,1917-06-14,zeppelin,l-43 (airship),off vlieland island,north sea,24.0,24.0
07:00,Military - German Navy,,,,,18.0,18.0,0.0,Shot down by British aircraft.,1917-08-21,zeppelin,l-23 (airship),off western denmark,,18.0,18.0
07:45,Military - German Navy,,,,,18.0,18.0,0.0,Shot down by French anti-aircraft fire.,1917-10-20,zeppelin,l-44 (airship),near luneville,france,18.0,18.0
21:30,Military - German Navy,,,,,23.0,23.0,0.0,Exploded and crashed into the sea off the southern coast of Italy.,1918-04-07,zeppelin,l-59 (airship),over the mediterranean,,23.0,23.0
,Military - German Navy,,,,,22.0,22.0,0.0,"Shot down by British aircraft crashing from a height of 17,000 ft.",1918-05-10,zeppelin,l-70 (airship),off helgoland island,germany,22.0,22.0
10:00,Military - German Navy,,,,,19.0,19.0,0.0,Shot down by british aircraft.,1918-08-11,zeppelin,l-53 (airship),ameland island,north sea,19.0,19.0
